Concept Index,Concept Name,Description,Human Label,Machine Label
65,buzzing sweater,this sweater buzzes when someone with the same jacket passes by,Hardware Devices,passes;color
66,color changing hair,this hair dye changes color when someone with the same hairdye passes by,Miscellaneous,passes;color
67,participant feature,the more events you attend the more reviews you will get making you more popular,App Features,feature;students
68,miscellaneous event feature,based on obscure interests you can easily find a hangout group,App Features,feature;students
69,food grouping feature,asks what food youre in the mood for and gives reccomendations of where to go with the people who accepted invite,App Features,people;everyone
70,what to do feature,helps you decide what event to participate in by taking into account weather budget etc,App Features,feature;students
71,study group time decider feature,selects time and place based on everyone elses availabilities,App Features,feature;students
72,study buddy course finder feature,narrows down people to study with based on coursetopic selection,App Features,feature;students
73,student events finder,helps certain students find events specifically for them based on interests,App Features,feature;students
74,fireworks trail,these fireworks are attracted to one another so you find your firework and maybe a friend too,Miscellaneous,accessory;system
75,backpack trades,people can go and trade backpacks and things inside of them for conversation starters,Miscellaneous,people;everyone
76,dating app,making dating apps is one of the ways to make new generation go out with each other and helps them to be more sociable,App Features,feature;students
77,online games,this is a website for ucb students to play different games online,App Features,feature;students
78,shaking app,if 2 people shake their phones at the same times you can choose the other persons gender they can make a new chat,App Features,app;students
79,find you match,people put their information in this app and that would help you to find your best match at the school,App Features,app;students
80,random matchers,people click on the app and that would find randomly one person on the campus and you have to message that person,App Features,app;students
81,buddy finder app,this app is for those people who want to find buddies for study groups work outs and parties together,App Features,app;students
82,my professor app,this app gives you all the information about the classes that you are taking and all the people who have study groups in the week,App Features,app;students
83,my school tutor,you can find paying tutors in your school or finding people to help you in one subject and you help them in another subject in return,App Features,feature;students
84,anonymous user app,it is an app to help shy people to talk to others and ask them question,App Features,app;students
85,finding my roommate,this app finds your perfect roommate based on the test that you would take about your personality,App Features,accessory;system
86,classmate crush,when you take a class your classmates would become your friends in this app and you have to rank them in attractiveness,App Features,app;students
87,"i'm hungry, hbu?",i noticed that many students eat by themselves on campus and they are lonely this app helps them to find new people to go get some food with,App Features,app;students
88,where are my friends?,this is an app that if 8 of your friends in your contact list are in one place will send you an notification,App Features,app;students
89,movie nights,this is an app that has all the new movies that are in teathers right now and when you rank them you can find someone to go to that movie with,App Features,app;students
90,sell and buy,the easiest way to buy stuffs for school with less money is to buy them from previous schools in that class,App Features,feature;students
91,bib bib device,this is a braclet that if people in school has them and pass each other it would make a noice bib bib,Hardware Devices,feature;students
92,help me find a date,this is an app that helpssuggests the students what to say to get a date in their school,App Features,app;students
93,all in one,an app that has online game school news and food delivery options for the students,App Features,app;students
94,test for date,an app that you can play with someone and the person that lose has to take the winner to a date,App Features,app;students
95,culture party,an app that helps the immigrantsstudents to find the other people with the same nationality as them in the same school they go to,App Features,app;students
96,cook together,this app would find you random people in your school to go to one those peoples place to cook together,App Features,app;students
97,find me something to do,when you ar bored you can tell this app what you want to do and it finds you a place,App Features,app;students
98,"my problem, your problem",in this app when you get stuck with a homework problem you can take a picture of that and it finds the other people that have the same question for study group,App Features,app;students
99,should i say that?,an app that if you do not know to say something to someone or not will help you to know if that is awkard to say or not,App Features,app;students
100,website for new events,making a website for new evens like concerts and seminars that we make for the students,Website,feature;students
