Human_Label_Index,Human_Label,Machine_Label_Index,Machine_Label,Bubble_size,Concept_Indices
4,Practicing,7,glasses;eyes,1,[26]
4,Practicing,4,students;teachers,1,[48]
9,Learn better,1,doctors;operation,1,[36]
6,Receiving---Case Study,6,picture;table,1,[16]
7,Practicing---Perceiving,7,glasses;eyes,1,[34]
3,Better treatment,11,screen;camera,1,[41]
0,Receiving,10,information;database,1,[3]
13,Better educational tools,8,video;device,1,[45]
14,Practice/Remembering/Better Treatment,9,information;knowledge,1,[46]
0,Receiving,3,doctors;treatment,1,[50]
4,Practicing,0,students;professors,1,[4]
5,Better Treatment and Receiving,5,patients;doctors,1,[15]
12,Better educational instruction,8,video;device,1,[37]
1,Better Treatment,14,doctors;models,2,[43; 44]
4,Practicing,13,teachers;time,1,[27]
1,Better Treatment,5,patients;doctors,3,[20; 21; 22]
2,Remembering,2,,2,[17; 19]
1,Better Treatment,1,doctors;operation,3,[28; 29; 30]
2,Remembering,7,glasses;eyes,1,[42]
3,Better treatment,2,,1,[39]
0,Receiving,0,students;professors,3,[31; 32; 33]
9,Learn better,3,doctors;treatment,1,[13]
2,Remembering,10,information;database,1,[35]
0,Receiving,5,patients;doctors,1,[14]
15,Practicing---Hands-on,7,glasses;eyes,1,[47]
4,Practicing,11,screen;camera,1,[5]
3,Better treatment,3,doctors;treatment,2,[24; 25]
0,Receiving,1,doctors;operation,1,[10]
3,Better treatment,12,body,1,[49]
1,Better Treatment,12,body,1,[7]
3,Better treatment,1,doctors;operation,1,[6]
0,Receiving,13,teachers;time,1,[8]
9,Learn better,9,information;knowledge,1,[40]
2,Remembering,0,students;professors,2,[11; 12]
8,Better educational content,8,video;device,1,[38]
10,Remote medical services,2,,1,[1]
3,Better treatment,4,students;teachers,1,[18]
2,Remembering,4,students;teachers,1,[2]
11,Remembering and Receiving,6,picture;table,1,[23]
8,Better educational content,4,students;teachers,1,[9]
