Human_Label_Index,Human_Label,Machine_Label_Index,Machine_Label,Bubble_size,Concept_Indices
2,arcade mode,1,biking;bike,1,[54]
1,but wait there's more,6,snack;towels,2,[15; 16]
4,business spinoff,0,users;user,3,[17; 18; 19]
1,but wait there's more,2,bike;machine,2,[1; 2]
3,how fit am i,3,workout;eg,3,[20; 21; 22]
4,business spinoff,4,workout;user,2,[29; 30]
1,but wait there's more,5,machine;user,1,[4]
5,hey siri,0,users;user,1,[9]
2,arcade mode,2,bike;machine,3,[10; 11; 12]
4,business spinoff,1,biking;bike,1,[5]
1,but wait there's more,1,biking;bike,4,[23; 24; 25; 26]
6,personal trainer,4,workout;user,2,[27; 28]
5,hey siri,4,workout;user,2,[13; 14]
0,check out my ride,0,users;user,12,[31; 32; 33; 34; 35; 36; 37; 38; 39; 40; 41; 42]
0,check out my ride,4,workout;user,3,[43; 44; 45]
6,personal trainer,0,users;user,4,[46; 47; 48; 49]
1,but wait there's more,4,workout;user,1,[50]
0,check out my ride,5,machine;user,2,[55; 56]
1,but wait there's more,0,users;user,2,[51; 52]
0,check out my ride,1,biking;bike,1,[53]
2,arcade mode,4,workout;user,1,[57]
2,arcade mode,0,users;user,1,[3]
3,how fit am i,4,workout;user,1,[58]
0,check out my ride,2,bike;machine,3,[6; 7; 8]
