Human_Label_Index,Human_Label,Machine_Label_Index,Machine_Label,Bubble_size,Concept_Indices
13,"Language Services, Crowd Sourced Data",13,"Language Services, Crowd Sourced Data",1,[51]
0,physical product,0,physical product,22,[2; 5; 7; 9; 17; 22; 24; 25; 30; 33; 34; 36; 42; 47; 55; 56; 57; 58; 59; 63; 64; 72]
6,"Physical Products, Crowd Sourced Data",6,"Physical Products, Crowd Sourced Data",2,[45; 46]
3,"language services, physical product",3,"language services, physical product",6,[10; 11; 21; 48; 49; 50]
10,"Crowd Sourced Data, Language Services",10,"Crowd Sourced Data, Language Services",1,[16]
5,Digital Services,5,Digital Services,2,[44; 54]
12,"Crowd Sourced Data, Connection Services",12,"Crowd Sourced Data, Connection Services",1,[28]
9,language services,9,language services,1,[12]
7,Physical Product & language service,7,Physical Product & language service,2,[73; 74]
14,Connection Services & Physical Product,14,Connection Services & Physical Product,1,[71]
8,"connection service, crowd source data",8,"connection service, crowd source data",1,[3]
2,connection service,2,connection service,13,[6; 8; 15; 27; 29; 37; 38; 40; 41; 43; 62; 66; 70]
1,Crowd sourced data,1,Crowd sourced data,16,[1; 4; 13; 14; 18; 19; 23; 26; 31; 32; 35; 39; 61; 65; 68; 69]
4,Language Services,4,Language Services,4,[52; 53; 60; 67]
11,"Crowd Sourced Data ,Language Services",11,"Crowd Sourced Data ,Language Services",1,[20]
