Human_Label_Index,Human_Label,Machine_Label_Index,Machine_Label,Bubble_size,Concept_Indices
2,smart city,7,parking indicator,1,[13]
2,smart city,6,shape;home,1,[1]
5,smart office,5,user;tables,1,[6]
0,smart home,4,controller;wall,3,[33; 34; 35]
4,casing,4,controller;wall,2,[39; 40]
1,home,4,controller;wall,1,[25]
2,smart city,10,light;user,2,[29; 30]
0,smart home,6,shape;home,3,[16; 17; 18]
0,smart home,11,smart door,2,[31; 32]
0,smart home,0,juice;sandwiches,4,[2; 3; 4; 5]
1,home,6,shape;home,1,[9]
0,smart home,10,light;user,3,[36; 37; 38]
2,smart city,2,guiding cart,2,[7; 8]
0,smart home,9,gesture reader,1,[28]
0,smart home,5,user;tables,2,[26; 27]
0,smart home,3,soil;supplies,3,[10; 11; 12]
0,smart home,8,temperature;humidity,3,[22; 23; 24]
1,home,1,plant;shelf,3,[19; 20; 21]
3,agriculture iot,3,soil;supplies,2,[14; 15]
