Human_Index,Human_Label,Machine_Index,Machine_Label
0,check out my ride,0,users;user
1,but wait there's more,1,workout;bike
2,how fit am i,2,workout;eg
3,arcade mode,,
4,hey siri,,
5,business spinoff,,
6,personal trainer,,
