Index,Human_Label,Machine_Label
0,Home-Eyes,device;user
1,Outdoor,cane;surface
2,Phone Tech,phone;reader
3,Robotic Aids,dog;guide
4,Display,braille
5,Wearables,navigation
6,Crosswalk,navigation;safety
7,Introspection,app;feedback
8,DisplayWearables,blind
9,Bioengineering,shopping;indoor
10,,object;indicator
