Human_Label_Index,Human_Label,Machine_Label_Index,Machine_Label,Bubble_size,Concept_Indices
7,Audible Devices,3,baby;mom,1,[96]
4,Wearable accessories,7,pregnancy;sickness,2,[49; 55]
3,Others,0,device;gui,7,[8; 9; 17; 20; 66; 91; 119]
2,Belts,1,sensor;electrodes,3,[12; 41; 56]
1,Clothes,6,mothers;connects,1,[83]
3,Others,7,pregnancy;sickness,2,[67; 79]
5,Compact electrodes,1,sensor;electrodes,9,[2; 25; 28; 32; 37; 42; 48; 60; 80]
4,Wearable accessories,0,device;gui,3,[35; 75; 94]
1,Clothes,2,belt;sensors,1,[86]
5,Compact electrodes,5,fetus;electrodes,1,[53]
0,External device,6,mothers;connects,1,[90]
4,Wearable accessories,4,activity;tracks,3,[103; 104; 105]
6,Blanket/pillow,3,baby;mom,1,[23]
5,Compact electrodes,0,device;gui,1,[22]
2,Belts,2,belt;sensors,10,[4; 15; 16; 21; 38; 39; 52; 87; 100; 108]
3,Others,5,fetus;electrodes,1,[98]
4,Wearable accessories,1,sensor;electrodes,4,[29; 59; 78; 93]
1,Clothes,1,sensor;electrodes,10,[13; 24; 44; 45; 51; 54; 58; 72; 73; 113]
6,Blanket/pillow,4,activity;tracks,1,[110]
5,Compact electrodes,4,activity;tracks,1,[102]
0,External device,0,device;gui,10,[6; 7; 31; 40; 50; 63; 64; 81; 88; 117]
3,Others,6,mothers;connects,2,[18; 69]
4,Wearable accessories,5,fetus;electrodes,2,[26; 114]
0,External device,4,activity;tracks,1,[77]
1,Clothes,4,activity;tracks,4,[84; 109; 111; 112]
0,External device,5,fetus;electrodes,7,[14; 62; 70; 74; 95; 115; 116]
0,External device,7,pregnancy;sickness,3,[33; 68; 89]
4,Wearable accessories,2,belt;sensors,1,[34]
1,Clothes,0,device;gui,3,[1; 19; 85]
3,Others,3,baby;mom,5,[65; 71; 92; 97; 99]
0,External device,1,sensor;electrodes,8,[3; 10; 27; 36; 43; 46; 76; 82]
7,Audible Devices,0,device;gui,2,[61; 118]
6,Blanket/pillow,1,sensor;electrodes,1,[30]
3,Others,1,sensor;electrodes,3,[5; 11; 120]
2,Belts,4,activity;tracks,1,[101]
2,Belts,0,device;gui,1,[57]
3,Others,4,activity;tracks,2,[106; 107]
0,External device,2,belt;sensors,1,[47]
