Human_Label_Index,Human_Label,Machine_Label_Index,Machine_Label,Bubble_size,Concept_Indices
3,Cabin Function,0,train;cabin,1,[29]
2,Wearable Device,1,app;passengers,1,[51]
6,Robot,2,bart;projector,3,[43; 44; 45]
5,Map,1,app;passengers,1,[35]
0,Cabin Feature,3,box;help,3,[10; 11; 13]
4,Misc,0,train;cabin,1,[41]
1,Apps,2,bart;projector,4,[4; 6; 8; 9]
3,Cabin Function,3,box;help,4,[26; 27; 28; 32]
4,Misc,4,seats;seat,1,[39]
5,Map,0,train;cabin,1,[36]
0,Cabin Feature,4,seats;seat,2,[16; 24]
1,Apps,1,app;passengers,5,[1; 2; 3; 5; 7]
3,Cabin Function,2,bart;projector,1,[33]
0,Cabin Feature,0,train;cabin,7,[12; 14; 15; 18; 21; 22; 23]
3,Cabin Function,6,level,1,[31]
2,Wearable Device,2,bart;projector,5,[48; 54; 55; 56; 59]
0,Cabin Feature,5,music,2,[17; 19]
5,Map,3,box;help,1,[34]
0,Cabin Feature,1,app;passengers,1,[25]
4,Misc,6,level,1,[40]
3,Cabin Function,4,seats;seat,1,[30]
6,Robot,1,app;passengers,2,[42; 46]
2,Wearable Device,0,train;cabin,7,[49; 50; 52; 53; 57; 58; 60]
4,Misc,3,box;help,1,[38]
2,Wearable Device,3,box;help,1,[47]
5,Map,2,bart;projector,1,[37]
0,Cabin Feature,2,bart;projector,1,[20]
