Human_Index,Human_Label,Machine_Index,Machine_Label
0,casin things,0,gloves;mars
1,enhance comfort,1,gloves;glove
2,got it?,2,fingers;gloves
3,there's an app for that,3,glove;heater
4,material,4,hands;sensors
5,lock n load,5,glove;sensors
6,hot stuff,6,thermal control
7,energy basic,7,waste heat energy
8,intersurfaces with/into,8,arm screen
9,clean things,9,storage for quick food
10,touch,,
11,would you look at that,,
12,can you feel it?,,
13,better than the iphone,,
14,internet with controls,,
15,iron man glove,,
16,sensor,,
17,intersurfaces,,
18,safety,,
19,grip,,
