Human_Label_Index,Human_Label,Machine_Label_Index,Machine_Label,Bubble_size,Concept_Indices
4,infrastructure planning,7,,1,[23]
11,kids,11,cav;vans,1,[32]
2,interior design,16,ride;riders,1,[46]
3,basic concept,0,cars;vehicles,2,[5; 6]
0,new vehicle shapes/forms,14,car;seats,1,[12]
7,transition to av,7,,1,[3]
2,interior design,1,car;ride,1,[36]
0,new vehicle shapes/forms,0,cars;vehicles,4,[41; 42; 43; 44]
6,safety & health,2,car;cars,1,[45]
4,infrastructure planning,14,car;seats,1,[59]
10,pricing & cost,3,cav;benefits,2,[47; 48]
5,commute / peak management,8,accidents;hours,1,[29]
4,infrastructure planning,0,cars;vehicles,3,[70; 71; 72]
1,use cases,2,car;cars,2,[16; 17]
8,transition to automated vehicles,14,car;seats,1,[15]
2,interior design,14,car;seats,2,[49; 50]
3,basic concept,3,cav;benefits,2,[20; 21]
1,use cases,16,ride;riders,2,[78; 79]
4,infrastructure planning,4,car;time,2,[30; 31]
1,use cases,14,car;seats,2,[27; 28]
1,use cases,12,experiences;reality,1,[80]
2,interior design,18,buses;roads,1,[68]
0,new vehicle shapes/forms,17,cav;car,2,[51; 52]
1,use cases,5,riders;tourists,1,[1]
9,optimizing efficiency,11,cav;vans,1,[67]
2,interior design,2,car;cars,3,[56; 57; 58]
1,use cases,1,car;ride,4,[37; 38; 39; 40]
4,infrastructure planning,18,buses;roads,2,[76; 77]
4,infrastructure planning,10,vehicle;ride,1,[22]
2,interior design,6,battery;pickup,1,[2]
6,safety & health,6,battery;pickup,1,[55]
5,commute / peak management,11,cav;vans,1,[64]
1,use cases,13,grocery;haircut,2,[10; 11]
6,safety & health,0,cars;vehicles,1,[8]
3,basic concept,11,cav;vans,1,[24]
9,optimizing efficiency,16,ride;riders,1,[63]
0,new vehicle shapes/forms,7,,1,[60]
4,infrastructure planning,2,car;cars,3,[33; 34; 35]
2,interior design,10,vehicle;ride,1,[19]
11,kids,12,experiences;reality,1,[75]
5,commute / peak management,5,riders;tourists,1,[54]
2,interior design,7,,1,[7]
6,safety & health,9,cav;lanes,1,[74]
7,transition to av,0,cars;vehicles,1,[53]
4,infrastructure planning,6,battery;pickup,1,[62]
5,commute / peak management,16,ride;riders,1,[61]
10,pricing & cost,10,vehicle;ride,1,[69]
9,optimizing efficiency,9,cav;lanes,1,[18]
8,transition to automated vehicles,8,accidents;hours,1,[4]
1,use cases,7,,2,[13; 14]
2,interior design,15,seats;seat,2,[25; 26]
1,use cases,17,cav;car,2,[65; 66]
0,new vehicle shapes/forms,2,car;cars,3,[81; 82; 83]
11,kids,6,battery;pickup,1,[9]
1,use cases,9,cav;lanes,1,[73]
