Human_Label_Index,Human_Label,Machine_Label_Index,Machine_Label,Bubble_size,Concept_Indices
0,Service,7,lock;people,3,[13; 15; 18]
1,Infrastructure,6,parking;bike,4,[8; 21; 27; 30]
3,Surveillance,7,lock;people,1,[10]
0,Service,3,bike;app,1,[1]
7,Locking process,2,thief;bike,2,[43; 45]
4,Theft prevention,0,lock;bike,2,[41; 50]
3,Surveillance,3,bike;app,1,[22]
2,slow thief,0,lock;bike,1,[46]
4,Theft prevention,4,alarm bitlock,1,[42]
1,Infrastructure,5,bikes;bike,1,[25]
5,Surveillance/Service,0,lock;bike,1,[12]
2,slow thief,2,thief;bike,6,[37; 38; 39; 40; 47; 48]
1,Infrastructure,1,bike;bikes,6,[7; 14; 20; 24; 26; 32]
3,Surveillance,2,thief;bike,1,[9]
0,Service,0,lock;bike,7,[2; 3; 16; 17; 19; 35; 36]
6,bike construction,0,lock;bike,1,[33]
0,Service,5,bikes;bike,3,[4; 5; 31]
4,Theft prevention,2,thief;bike,2,[44; 49]
1,Infrastructure,0,lock;bike,1,[6]
0,Service,1,bike;bikes,2,[11; 34]
6,bike construction,1,bike;bikes,1,[29]
3,Surveillance,1,bike;bikes,1,[23]
0,Service,6,parking;bike,1,[28]
