Human_Index,Human_Label,Machine_Index,Machine_Label
0,home appliances,0,material;strength
1,consumer product,1,glasses;shade
2,automotive,2,performance;material
3,personal accessory,3,back brace
4,aerospace & aeronautical,4,smart windows
5,renewable energy/consumer product,,
6,renewable energy,,
7,stationery,,
8,appliances,,
9,recreational,,
10,electronics applications,,
