Human_Label_Index,Human_Label,Machine_Label_Index,Machine_Label,Bubble_size,Concept_Indices
0,Service,1,people;places,11,[1; 3; 9; 11; 12; 19; 20; 21; 24; 25; 41]
1,Environment Type,2,users;rooms,5,[7; 30; 60; 65; 99]
2,Study Convenience,5,extension;hours,1,[31]
0,Service,0,study;students,15,[26; 33; 36; 39; 42; 45; 46; 48; 50; 55; 56; 61; 80; 87; 91]
3,Organization,1,people;places,1,[97]
3,Organization,3,gui;spots,1,[57]
1,Environment Type,5,extension;hours,2,[70; 72]
3,Organization,0,study;students,8,[28; 62; 63; 68; 84; 88; 94; 95]
2,Study Convenience,2,users;rooms,4,[37; 40; 75; 81]
3,Organization,2,users;rooms,1,[83]
2,Study Convenience,1,people;places,3,[5; 6; 74]
0,Service,2,users;rooms,10,[51; 52; 67; 71; 79; 85; 86; 89; 90; 93]
2,Study Convenience,0,study;students,13,[27; 32; 34; 35; 38; 43; 44; 49; 76; 78; 92; 98; 100]
1,Environment Type,3,gui;spots,3,[29; 59; 73]
2,Study Convenience,3,gui;spots,1,[69]
4,Study convenience,3,gui;spots,1,[54]
0,Service,4,app;students,5,[13; 16; 17; 22; 47]
1,Environment Type,0,study;students,3,[77; 82; 96]
0,Service,3,gui;spots,4,[23; 53; 64; 66]
1,Environment Type,1,people;places,8,[2; 4; 8; 10; 14; 15; 18; 58]
