Human_Index,Human_Label,Machine_Index,Machine_Label
0,game mechanics and features,0,game;kids
1,adventurous biology games,1,vr;kit
2,prep education,2,environment;molecules
3,earth science games,3,planet;earth
4,physical sport game,4,vr;world
5,daily life related,5,mountain hiking
6,constructing game,6,balls;roller
7,fiction games,7,harry potter stick
8,adventure,8,telescope view
9,simulation,9,space station fleat
