Human_Label_Index,Human_Label,Machine_Label_Index,Machine_Label,Bubble_size,Concept_Indices
1,Ergonomics,3,cost;privacy,1,[23]
6,Customizability/Ergonomics,6,devices;items,2,[42; 43]
7,Mobility/Manufacturability,7,power;generator,1,[65]
0,Sustainability,7,power;generator,5,[21; 45; 77; 80; 93]
1,Ergonomics,6,devices;items,2,[47; 73]
9,Health,4,house;home,2,[86; 89]
0,Sustainability,3,cost;privacy,2,[7; 56]
1,Ergonomics,11,themed gardens,1,[66]
4,Security,0,system;floor,3,[6; 28; 62]
1,Ergonomics,2,walls;homes,7,[1; 11; 20; 22; 26; 51; 76]
9,Health,0,system;floor,3,[36; 37; 88]
5,Sustainability/Health,5,owners;fruit,2,[31; 32]
2,Mobility,0,system;floor,2,[55; 61]
4,Security,4,house;home,2,[18; 19]
12,Ergonomics/Mobility,6,devices;items,1,[49]
1,Ergonomics,5,owners;fruit,2,[63; 100]
2,Mobility,2,walls;homes,2,[29; 30]
1,Ergonomics,10,window computer,1,[41]
3,Affordability,3,cost;privacy,2,[79; 83]
1,Ergonomics,1,space;furniture,8,[2; 3; 35; 53; 60; 71; 85; 90]
0,Sustainability,0,system;floor,9,[8; 9; 57; 58; 64; 72; 75; 82; 98]
9,Health,3,cost;privacy,1,[34]
8,Manufacturability,3,cost;privacy,1,[46]
1,Ergonomics,4,house;home,1,[50]
2,Mobility,3,cost;privacy,1,[40]
2,Mobility,1,space;furniture,1,[12]
0,Sustainability,4,house;home,2,[17; 74]
1,Ergonomics,0,system;floor,5,[4; 5; 24; 69; 81]
0,Sustainability,8,materials;glasses,2,[14; 15]
9,Health,6,devices;items,1,[95]
5,Sustainability/Health,3,cost;privacy,1,[33]
0,Sustainability,1,space;furniture,2,[70; 91]
10,Health/Sustainability,5,owners;fruit,2,[38; 39]
4,Security,6,devices;items,1,[54]
1,Ergonomics,12,virtual windows,1,[67]
11,Ergonomics/Manufacturabiity,3,cost;privacy,1,[44]
2,Mobility,4,house;home,2,[16; 96]
0,Sustainability,6,devices;items,3,[48; 52; 92]
1,Ergonomics,8,materials;glasses,2,[97; 99]
8,Manufacturability,8,materials;glasses,1,[27]
1,Ergonomics,7,power;generator,1,[10]
0,Sustainability,9,solar tiles,1,[25]
0,Sustainability,2,walls;homes,7,[13; 59; 68; 78; 84; 87; 94]
