Human_Label_Index,Human_Label,Machine_Label_Index,Machine_Label,Bubble_size,Concept_Indices
4,accessories,7,helmet;shoes,1,[11]
12,performance,1,board;wheels,1,[97]
6,electroinic,6,foldable scooter,1,[18]
2,unique,8,wheels;folds,3,[30; 76; 80]
8,Bikini Board,0,board;rental,1,[68]
2,unique,1,board;wheels,5,[32; 40; 52; 71; 81]
4,accessories,12,drawstring bagkeeps ,1,[58]
5,potential lawsuits,1,board;wheels,2,[33; 69]
2,unique,5,arm;hamster,1,[78]
4,accessories,0,board;rental,6,[2; 8; 20; 65; 84; 88]
1,extend,2,brake;wheel,1,[46]
3,modular,13,snowboard +skateboard,1,[89]
9,cool,0,board;rental,2,[82; 83]
2,unique,14,ultra discussion forum,1,[96]
3,modular,3,board,2,[7; 15]
2,unique,9,feet;foot,1,[72]
8,Bikini Board,1,board;wheels,1,[27]
4,accessories,4,backpack,2,[12; 70]
2,unique,2,brake;wheel,4,[34; 45; 55; 57]
10,stand alone board ideas,0,board;rental,1,[85]
5,potential lawsuits,3,board,1,[86]
4,accessories,1,board;wheels,5,[3; 26; 31; 77; 91]
1,extend,1,board;wheels,7,[6; 21; 28; 43; 63; 64; 67]
2,unique,7,helmet;shoes,2,[73; 75]
0,foldable,0,board;rental,9,[1; 4; 9; 10; 13; 22; 36; 42; 49]
7,electronic,1,board;wheels,1,[39]
4,accessories,5,arm;hamster,1,[90]
2,unique,10,skateboard outline,1,[48]
11,no category,0,board;rental,1,[92]
2,unique,3,board,1,[93]
4,accessories,2,brake;wheel,3,[47; 66; 74]
1,extend,0,board;rental,1,[14]
0,foldable,8,wheels;folds,2,[61; 62]
4,accessories,11,logo,1,[50]
5,potential lawsuits,5,arm;hamster,2,[38; 79]
0,foldable,1,board;wheels,9,[17; 23; 24; 25; 51; 53; 54; 56; 60]
7,electronic,0,board;rental,1,[5]
12,performance,0,board;rental,5,[94; 95; 98; 99; 100]
9,cool,2,brake;wheel,1,[87]
3,modular,1,board;wheels,1,[29]
2,unique,0,board;rental,4,[16; 19; 37; 44]
0,foldable,9,feet;foot,1,[41]
5,potential lawsuits,2,brake;wheel,1,[35]
0,foldable,2,brake;wheel,1,[59]
