Human_Label_Index,Human_Label,Machine_Label_Index,Machine_Label,Bubble_size,Concept_Indices
6,energy storage,6,energy;heat,2,[50; 51]
8,maintenance,0,panels;battery,1,[3]
7,energy saving,7,smart fridge,1,[4]
9,b2b service,4,installation;monitor,1,[56]
7,energy saving,10,smart light,1,[58]
5,unconventional usage,1,storage;panels,1,[49]
0,solar integration w/ existing product,3,panel;mirrors,1,[18]
7,energy saving,2,panels;panel,1,[44]
3,efficiency boosting,3,panel;mirrors,3,[23; 24; 25]
7,energy saving,6,energy;heat,1,[45]
4,control sensor,4,installation;monitor,2,[1; 2]
5,unconventional usage,8,power;panel,1,[22]
5,unconventional usage,0,panels;battery,1,[21]
2,transportation,2,panels;panel,4,[38; 39; 40; 41]
1,software integration,1,storage;panels,4,[33; 34; 35; 36]
0,solar integration w/ existing product,0,panels;battery,13,[5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17]
8,maintenance,2,panels;panel,2,[26; 27]
7,energy saving,1,storage;panels,1,[20]
9,b2b service,3,panel;mirrors,1,[19]
1,software integration,4,installation;monitor,2,[42; 43]
3,efficiency boosting,9,giant solar panel,1,[28]
10,retrofit market,1,storage;panels,1,[54]
4,control sensor,2,panels;panel,1,[55]
5,unconventional usage,5,lunar power,2,[29; 30]
0,solar integration w/ existing product,1,storage;panels,2,[59; 60]
9,b2b service,2,panels;panel,1,[48]
3,efficiency boosting,4,installation;monitor,1,[32]
3,efficiency boosting,8,power;panel,1,[57]
0,solar integration w/ existing product,6,energy;heat,2,[46; 47]
4,control sensor,3,panel;mirrors,1,[31]
5,unconventional usage,2,panels;panel,1,[37]
0,solar integration w/ existing product,2,panels;panel,2,[52; 53]
