Human_Index,Human_Label,Machine_Index,Machine_Label
0,check out my ride,0,users;user
1,but wait there's more,1,biking;bike
2,arcade mode,2,bike;machine
3,how fit am i,3,workout;eg
4,business spinoff,4,workout;user
5,hey siri,5,machine;user
6,personal trainer,6,snack;towels
