Index,Human_Label,Machine_Label
0,Economy/Sustainability,energy;water
1,Sustainability,community;garden
2,Space saving,walls;lights
3,Comfort,rail;house
4,Economy,residents;center
5,Comfort/Sustainability,furniture;functions
