Human_Index,Human_Label,Machine_Index,Machine_Label
0,performance,0,lubricant;viscosity
1,awareness,1,lubrication;lubricants
2,aesthetics,2,self lubricating
3,smell,3,smell;ingredients
4,noise,4,use ear plugs
5,environment friendly,5,pump;plastic
6,cost,6,gas mask
7,long lasting,7,flower fragrant additives
