Human_Label_Index,Human_Label,Machine_Label_Index,Machine_Label,Bubble_size,Concept_Indices
7,mod save america,3,obstacles;bars,1,[94]
1,locomotion,3,obstacles;bars,4,[33; 34; 35; 36]
12,weight/ impact toughness,1,rods;cables,1,[78]
6,mod save america;impact toughness,6,,1,[40]
3,impact toughness,0,robot;robots,1,[100]
8,locomotion; impact toughness,0,robot;robots,3,[15; 16; 17]
2,flexibility,1,rods;cables,3,[97; 98; 99]
14,user experience,0,robot;robots,1,[93]
5,weight,1,rods;cables,2,[28; 29]
2,flexibility,5,springs;enclosure,1,[87]
0,secondary function,3,obstacles;bars,6,[101; 102; 103; 104; 105; 106]
1,locomotion,2,robot;spider,4,[1; 2; 3; 4]
5,weight,5,springs;enclosure,1,[37]
4,integrity,4,earthquake;disaster,1,[7]
1,locomotion,5,springs;enclosure,1,[41]
3,impact toughness,6,,1,[59]
2,flexibility,2,robot;spider,2,[46; 47]
3,impact toughness,5,springs;enclosure,1,[30]
4,integrity,1,rods;cables,2,[95; 96]
1,locomotion,1,rods;cables,11,[48; 49; 50; 51; 52; 53; 54; 55; 56; 57; 58]
3,impact toughness,2,robot;spider,1,[80]
0,secondary function,0,robot;robots,16,[61; 62; 63; 64; 65; 66; 67; 68; 69; 70; 71; 72; 73; 74; 75; 76]
13,helmet,2,robot;spider,1,[79]
5,weight,0,robot;robots,1,[43]
7,mod save america,1,rods;cables,2,[5; 6]
15,mod save america; locomotion,3,obstacles;bars,1,[107]
0,secondary function,4,earthquake;disaster,1,[39]
2,flexibility,3,obstacles;bars,1,[60]
10,secondary function/locomotion,1,rods;cables,1,[42]
1,locomotion,0,robot;robots,6,[81; 82; 83; 84; 85; 86]
3,impact toughness,3,obstacles;bars,2,[44; 45]
0,secondary function,1,rods;cables,5,[88; 89; 90; 91; 92]
3,impact toughness,1,rods;cables,9,[18; 19; 20; 21; 22; 23; 24; 25; 26]
11,modularity,3,obstacles;bars,1,[77]
2,flexibility,0,robot;robots,7,[8; 9; 10; 11; 12; 13; 14]
4,integrity,3,obstacles;bars,1,[27]
9,locomotion; planning,5,springs;enclosure,1,[38]
0,secondary function,2,robot;spider,2,[31; 32]
