Index,Human_Label,Machine_Label
0,physical product,physical product
1,Crowd sourced data,Crowd sourced data
2,connection service,connection service
3,"language services, physical product","language services, physical product"
4,Language Services,Language Services
5,Digital Services,Digital Services
6,"Physical Products, Crowd Sourced Data","Physical Products, Crowd Sourced Data"
7,Physical Product & language service,Physical Product & language service
8,"connection service, crowd source data","connection service, crowd source data"
9,language services,language services
10,"Crowd Sourced Data, Language Services","Crowd Sourced Data, Language Services"
11,"Crowd Sourced Data ,Language Services","Crowd Sourced Data ,Language Services"
12,"Crowd Sourced Data, Connection Services","Crowd Sourced Data, Connection Services"
13,"Language Services, Crowd Sourced Data","Language Services, Crowd Sourced Data"
14,Connection Services & Physical Product,Connection Services & Physical Product
