Human_Index,Human_Label,Machine_Index,Machine_Label
0,Portable Appliances,0,sun;solar
1,Residential Solar,1,panels;panel
2,Charging Station,2,station;wireless
3,Hybrid Application,3,electricity;water
4,Large System,,
5,Maintenance,,
6,portable Appliances,,
7,Big System,,
8,Software,,
