Index,Human_Label,Machine_Label
0,Cabin Feature,Cabin Feature
1,Wearable Device,Wearable Device
2,Apps,Apps
3,Cabin Function,Cabin Function
4,Robot,Robot
5,Map,Map
6,Misc,Misc
