Human_Label_Index,Human_Label,Machine_Label_Index,Machine_Label,Bubble_size,Concept_Indices
4,Whole New Fridge,7,space,1,[19]
5,Organization,7,space,1,[93]
9,Freshness Indication,1,food;waste,2,[45; 90]
6,Temp Control,6,temperature;humidity,3,[58; 100; 118]
3,Door Tech,0,shelves;door,1,[107]
8,Drawer Tech,0,shelves;door,1,[10]
5,Organization,4,panels;refrigerator,2,[69; 70]
2,Apps/Tech,1,food;waste,4,[3; 25; 63; 82]
6,Temp Control,2,items;users,1,[18]
9,Freshness Indication,4,panels;refrigerator,1,[67]
5,Organization,1,food;waste,3,[51; 52; 117]
8,Drawer Tech,5,compartment;cleaning,1,[111]
5,Organization,8,machine;user,1,[72]
4,Whole New Fridge,0,shelves;door,1,[41]
1,Non-Fridge Concept,2,items;users,4,[31; 47; 49; 115]
4,Whole New Fridge,9,shelves,1,[77]
3,Door Tech,3,door;doors,6,[5; 6; 86; 87; 108; 109]
8,Drawer Tech,1,food;waste,3,[9; 89; 112]
4,Whole New Fridge,4,panels;refrigerator,5,[78; 79; 80; 81; 120]
1,Non-Fridge Concept,5,compartment;cleaning,2,[30; 68]
5,Organization,0,shelves;door,2,[54; 116]
0,Shelf Tech,4,panels;refrigerator,3,[34; 73; 74]
3,Door Tech,5,compartment;cleaning,1,[43]
4,Whole New Fridge,1,food;waste,4,[20; 21; 60; 121]
1,Non-Fridge Concept,1,food;waste,8,[11; 12; 29; 46; 48; 50; 92; 114]
3,Door Tech,2,items;users,1,[27]
0,Shelf Tech,0,shelves;door,11,[14; 32; 33; 35; 36; 37; 38; 75; 96; 98; 99]
3,Door Tech,6,temperature;humidity,1,[88]
7,Chemistry Tech,1,food;waste,5,[4; 26; 42; 84; 106]
4,Whole New Fridge,5,compartment;cleaning,2,[102; 122]
2,Apps/Tech,2,items;users,7,[1; 2; 22; 23; 62; 83; 103]
6,Temp Control,0,shelves;door,1,[16]
0,Shelf Tech,5,compartment;cleaning,3,[15; 39; 56]
9,Freshness Indication,5,compartment;cleaning,2,[44; 91]
4,Whole New Fridge,2,items;users,4,[61; 76; 101; 119]
1,Non-Fridge Concept,0,shelves;door,1,[28]
6,Temp Control,5,compartment;cleaning,1,[40]
5,Organization,5,compartment;cleaning,3,[13; 71; 94]
0,Shelf Tech,1,food;waste,1,[55]
8,Drawer Tech,3,door;doors,1,[110]
6,Temp Control,8,machine;user,1,[59]
9,Freshness Indication,2,items;users,1,[113]
3,Door Tech,4,panels;refrigerator,1,[64]
6,Temp Control,1,food;waste,2,[17; 57]
3,Door Tech,1,food;waste,3,[7; 8; 85]
2,Apps/Tech,6,temperature;humidity,1,[105]
0,Shelf Tech,6,temperature;humidity,1,[97]
0,Shelf Tech,9,shelves,1,[95]
2,Apps/Tech,3,door;doors,2,[24; 104]
5,Organization,2,items;users,1,[53]
8,Drawer Tech,4,panels;refrigerator,2,[65; 66]
