Human_Label_Index,Human_Label,Machine_Label_Index,Machine_Label,Bubble_size,Concept_Indices
10,Language Services,11,issue;service,1,[53]
11,Digital Services,11,issue;service,1,[54]
6,|Crowd Sourced Data, Language Services|,6,information;messages,1,[16]
3,Crowd Sourced Data,0,people;app,4,[18; 23; 26; 31]
0,connection service,14,delivery,1,[27]
7,|Physical Products, Crowd Sourced Data|,7,info;information,1,[46]
1,physical product,15,line;analogue,2,[34; 63]
0,connection service,3,community;events,1,[43]
1,physical product,11,issue;service,2,[55; 56]
9,Physical Product & language service,1,users;application,1,[73]
1,physical product,2,language;someone,1,[59]
16,Connection Services & Physical Product,1,users;application,1,[71]
3,Crowd Sourced Data,17,party map,1,[69]
5,language services,5,glasses;glass,1,[12]
1,physical product,16,people;ring,1,[72]
4,Crowd sourced data,4,campus;location,1,[4]
1,physical product,5,glasses;glass,3,[5; 30; 33]
14,|Crowd Sourced Data, Connection Services|,1,users;application,1,[28]
11,Digital Services,1,users;application,1,[44]
3,Crowd Sourced Data,6,information;messages,1,[19]
2,|language services, physical product|,2,language;someone,3,[10; 49; 50]
3,Crowd Sourced Data,16,people;ring,1,[61]
1,physical product,1,users;application,4,[7; 17; 22; 36]
0,connection service,1,users;application,5,[37; 38; 40; 41; 70]
0,connection service,0,people;app,5,[6; 15; 29; 62; 66]
7,|Physical Products, Crowd Sourced Data|,1,users;application,1,[45]
1,physical product,13,metal head,1,[9]
1,physical product,4,campus;location,1,[42]
2,|language services, physical product|,10,translate,1,[48]
13,|Crowd Sourced Data ,Language Services|,6,information;messages,1,[20]
1,physical product,9,users;breaking,2,[24; 25]
10,Language Services,1,users;application,1,[67]
3,Crowd Sourced Data,3,community;events,2,[35; 68]
2,|language services, physical product|,7,info;information,1,[11]
15,|Language Services, Crowd Sourced Data|,2,language;someone,1,[51]
1,physical product,12,info,2,[2; 64]
12,|connection service, crowd source data|,0,people;app,1,[3]
3,Crowd Sourced Data,1,users;application,1,[39]
9,Physical Product & language service,9,users;breaking,1,[74]
10,Language Services,10,translate,1,[52]
3,Crowd Sourced Data,8,events;app,1,[32]
0,connection service,6,information;messages,1,[8]
8,crowd sourced data,8,events;app,1,[14]
4,Crowd sourced data,3,community;events,1,[1]
1,physical product,7,info;information,3,[47; 57; 58]
10,Language Services,2,language;someone,1,[60]
3,Crowd Sourced Data,4,campus;location,1,[65]
2,|language services, physical product|,4,campus;location,1,[21]
8,crowd sourced data,4,campus;location,1,[13]
