Human_Label_Index,Human_Label,Machine_Label_Index,Machine_Label,Bubble_size,Concept_Indices
9,Consumer/Education/Medical,1,robot;arm,1,[17]
2,Education,1,robot;arm,1,[61]
6,Industry,2,,1,[18]
5,Consumer/education,1,robot;arm,1,[4]
1,Medical,2,,1,[47]
3,Agriculture,3,arm;screw,1,[5]
5,Consumer/education,0,robot;robots,5,[20; 21; 22; 23; 24]
2,Education,2,,1,[1]
1,Medical,1,robot;arm,2,[27; 28]
0,Consumer,0,robot;robots,11,[29; 30; 31; 32; 33; 34; 35; 36; 37; 38; 39]
0,Consumer,4,arm,1,[45]
6,Industry,0,robot;robots,5,[6; 7; 8; 9; 10]
1,Medical,4,arm,1,[59]
11,Consumer/medical,0,robot;robots,1,[46]
4,Medical/Industry,2,,1,[2]
1,Medical,0,robot;robots,1,[48]
0,Consumer,1,robot;arm,8,[51; 52; 53; 54; 55; 56; 57; 58]
8,Industry/Engineer,3,arm;screw,1,[16]
7,Organization,0,robot;robots,5,[11; 12; 13; 14; 15]
12,Industry/Consumer,0,robot;robots,1,[60]
6,Industry,1,robot;arm,1,[26]
2,Education,0,robot;robots,5,[40; 41; 42; 43; 44]
5,Consumer/education,2,,1,[50]
0,Consumer,2,,3,[3; 19; 49]
10,Consumer; Organization,2,,1,[25]
