Human_Index,Human_Label,Machine_Index,Machine_Label
0,game mechanics and features,0,game;kids
1,adventurous biology games,1,vr;users
2,earth science games,2,environment;planets
3,daily life related,3,balls;stick
4,adventure,4,planets;view
5,fiction games,,
6,physical sport game,,
7,simulation,,
8,prep education,,
9,constructing game,,
