Human_Index,Human_Label,Machine_Index,Machine_Label
0,easy to use,0,user;exoskeleton
1,adjustability,1,exoskeleton;accessory
2,comfort,2,leg;button
3,connectivity,3,device;battery
4,mobility,4,knee;legs
5,motivation,5,music;hip
6,safety,6,function;verification
7,affordability,7,compensation;users
8,aesthetic,8,braces;use
9,durability,9,mode;users
10,control,10,frame;back
11,,11,user;exercises
