Human_Label_Index,Human_Label,Machine_Label_Index,Machine_Label,Bubble_size,Concept_Indices
9,B2B Service,1,panels;panel,1,[8]
11,Retrofit Market,2,storage;energy,1,[55]
5,Control Sensor,1,panels;panel,1,[27]
0,Solar integration w/ existing product,3,panel;mirrors,1,[53]
2,Software Integration,5,installation;monitor,2,[9; 10]
4,Unconventional Usage,0,panels;battery,1,[11]
5,Control Sensor,5,installation;monitor,2,[12; 13]
8,Energy Saving,1,panels;panel,3,[18; 19; 20]
4,Unconventional Usage,4,power;panel,3,[15; 16; 17]
6,B2B service,3,panel;mirrors,1,[22]
2,Software Integration,2,storage;energy,4,[23; 24; 25; 26]
3,Efficiency Boosting,3,panel;mirrors,4,[28; 29; 30; 31]
5,Control Sensor,3,panel;mirrors,1,[5]
4,Unconventional Usage,1,panels;panel,1,[56]
1,Transportation,1,panels;panel,4,[49; 50; 51; 52]
0,Solar integration w/ existing product,0,panels;battery,13,[32; 33; 34; 35; 36; 37; 38; 39; 40; 41; 42; 43; 44]
8,Energy Saving,2,storage;energy,2,[3; 4]
7,Maintenance,1,panels;panel,2,[1; 2]
4,Unconventional Usage,2,storage;energy,1,[48]
6,B2B service,5,installation;monitor,1,[14]
3,Efficiency Boosting,5,installation;monitor,1,[21]
0,Solar integration w/ existing product,1,panels;panel,2,[6; 7]
7,Maintenance,0,panels;battery,1,[54]
3,Efficiency Boosting,4,power;panel,1,[47]
0,Solar integration w/ existing product,2,storage;energy,4,[57; 58; 59; 60]
10,Energy Storage,2,storage;energy,2,[45; 46]
