Index,Human_Label,Machine_Label
0,Communal Security,campus;students
1,Personal Security,users;user
2,Personal Safety,bicycle;bike
3,Personal Awareness,idea;way
4,Personal Improvements,ninja mode
5,Communal Awareness,activity;routes
6,Faster Transportation,personal lighting
7,Communal awareness,safe zones
