Human_Index,Human_Label,Machine_Index,Machine_Label
0,smart home,0,door;user
1,home,1,juice;plant
2,smart city,2,car;parking
3,agriculture iot,3,humidity;temperature
4,casing,4,light;user
5,smart office,5,gesture reader
