Human_Label_Index,Human_Label,Machine_Label_Index,Machine_Label,Bubble_size,Concept_Indices
0,smart home,1,device;light,9,[1; 2; 3; 4; 5; 6; 7; 8; 9]
0,smart home,0,door;phone,14,[10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23]
3,casing,0,door;phone,2,[30; 31]
1,smart city,1,device;light,5,[36; 37; 38; 39; 40]
2,home,0,door;phone,5,[24; 25; 26; 27; 28]
5,agriculture iot,1,device;light,2,[34; 35]
1,smart city,0,door;phone,1,[33]
0,smart home,2,,1,[29]
4,smart office,0,door;phone,1,[32]
