Human_Label_Index,Human_Label,Machine_Label_Index,Machine_Label,Bubble_size,Concept_Indices
7,harness,3,hand;fingers,1,[63]
1,,3,hand;fingers,1,[11]
8,niche,13,hand;clamp,1,[52]
6,control,6,bindings;linkage,1,[5]
3,the claw,0,finger;fingers,1,[6]
2,other,8,,1,[47]
7,harness,7,sensors;heat,1,[74]
1,,6,bindings;linkage,1,[26]
0,finger designs,10,grip;texture,2,[56; 57]
5,gone ridin',1,brake;wrist,3,[48; 49; 50]
0,finger designs,3,hand;fingers,3,[14; 15; 16]
1,,11,thumb;finger,2,[3; 4]
8,niche,5,hand,1,[62]
9,joints,0,finger;fingers,3,[53; 54; 55]
5,gone ridin',5,hand,1,[2]
1,,16,hook;button,1,[80]
4,imonkeybar,4,wrist;fingers,2,[21; 22]
1,,14,finger;hand,1,[23]
4,imonkeybar,8,,1,[35]
5,gone ridin',6,bindings;linkage,1,[36]
0,finger designs,11,thumb;finger,1,[69]
0,finger designs,4,wrist;fingers,1,[27]
1,,10,grip;texture,1,[1]
1,,1,brake;wrist,3,[70; 71; 72]
0,finger designs,1,brake;wrist,1,[79]
7,harness,14,finger;hand,1,[75]
0,finger designs,0,finger;fingers,9,[37; 38; 39; 40; 41; 42; 43; 44; 45]
10,grippers,4,wrist;fingers,1,[12]
3,the claw,13,hand;clamp,1,[13]
1,,13,hand;clamp,1,[68]
2,other,2,hand;interface,3,[32; 33; 34]
6,control,0,finger;fingers,1,[51]
1,,4,wrist;fingers,2,[60; 61]
4,imonkeybar,16,hook;button,1,[77]
11,mount,0,finger;fingers,2,[29; 30]
2,other,15,device;input,2,[64; 65]
1,,9,fingers;finger,2,[66; 67]
0,finger designs,8,,1,[25]
3,the claw,3,hand;fingers,2,[18; 19]
2,other,7,sensors;heat,1,[73]
3,the claw,12,clamp;drum,1,[59]
1,,12,clamp;drum,1,[9]
3,the claw,4,wrist;fingers,1,[78]
6,control,1,brake;wrist,1,[10]
5,gone ridin',7,sensors;heat,1,[7]
9,joints,9,fingers;finger,1,[20]
3,the claw,8,,1,[8]
1,,8,,2,[24; 28]
8,niche,8,,1,[46]
6,control,13,hand;clamp,1,[17]
0,finger designs,9,fingers;finger,1,[58]
4,imonkeybar,3,hand;fingers,1,[76]
7,harness,8,,1,[31]
