Human_Label_Index,Human_Label,Machine_Label_Index,Machine_Label,Bubble_size,Concept_Indices
6,simulation,6,vr prototype,1,[7]
9,daily life related,8,world;vr,1,[25]
7,prep education,7,environment;app,1,[28]
7,prep education,16,disaster simulation,1,[15]
5,constructing game,1,vr;kit,2,[12; 13]
2,earth science games,18,space station fleat,1,[32]
6,simulation,7,environment;app,1,[8]
3,fiction games,3,harry potter stick,1,[2]
4,adventure,4,chemical material collecting game,1,[5]
9,daily life related,11,vr;tutorials,1,[30]
2,earth science games,2,planet;earth,2,[9; 10]
7,prep education,9,wires;airflow,1,[21]
4,adventure,1,vr;kit,1,[4]
1,adventurous biology games,1,vr;kit,2,[26; 27]
0,game mechanics and features,0,game;kids,3,[16; 17; 18]
7,prep education,1,vr;kit,1,[19]
6,simulation,11,vr;tutorials,1,[33]
1,adventurous biology games,13,zoo safari vr,1,[1]
3,fiction games,5,balls;ride,1,[6]
9,daily life related,10,catch the fish,1,[23]
8,physical sport game,17,physic baseball game,1,[29]
2,earth science games,14,space vr,1,[3]
5,constructing game,5,balls;ride,1,[11]
0,game mechanics and features,19,reward system,1,[34]
9,daily life related,9,wires;airflow,1,[22]
3,fiction games,8,world;vr,1,[24]
8,physical sport game,8,world;vr,1,[20]
2,earth science games,15,telescope view,1,[14]
9,daily life related,12,mountain hiking,1,[31]
