Human_Label_Index,Human_Label,Machine_Label_Index,Machine_Label,Bubble_size,Concept_Indices
0,smart home,1,juice;plant,4,[18; 19; 20; 21]
0,smart home,0,door;user,10,[1; 2; 3; 4; 5; 6; 7; 8; 9; 10]
3,agriculture iot,3,humidity;temperature,2,[11; 12]
2,smart city,2,car;parking,3,[37; 38; 39]
0,smart home,3,humidity;temperature,6,[31; 32; 33; 34; 35; 36]
1,home,1,juice;plant,3,[13; 14; 15]
2,smart city,0,door;user,1,[30]
0,smart home,5,gesture reader,1,[24]
5,smart office,0,door;user,1,[40]
0,smart home,4,light;user,3,[27; 28; 29]
1,home,0,door;user,2,[22; 23]
2,smart city,4,light;user,2,[16; 17]
4,casing,0,door;user,2,[25; 26]
