Human_Index,Human_Label,Machine_Index,Machine_Label
0,finger designs,0,finger;fingers
1,,1,wrist;brake
2,other,2,sensors;heat
3,the claw,3,hand;side
4,niche,4,hand;clamp
5,harness,5,watch mount
6,imonkeybar,6,imonkey bar c metal part
7,gone ridin',7,hand;ball
8,joints,8,clamp;drum
9,mount,9,ihero
10,control,10,gripper
11,grippers,11,the gripper
