Human_Label_Index,Human_Label,Machine_Label_Index,Machine_Label,Bubble_size,Concept_Indices
3,Personal Awareness,0,campus;students,2,[7; 12]
0,Communal Security,7,safe zones,1,[19]
6,Faster Transportation,2,bicycle;bike,1,[1]
1,Personal Security,6,personal lighting,1,[9]
0,Communal Security,3,idea;way,1,[14]
4,Personal Improvements,0,campus;students,1,[2]
3,Personal Awareness,3,idea;way,2,[5; 6]
4,Personal Improvements,4,ninja mode,1,[8]
1,Personal Security,5,activity;routes,3,[32; 40; 61]
5,Communal Awareness,0,campus;students,1,[53]
2,Personal Safety,2,bicycle;bike,3,[66; 68; 69]
4,Personal Improvements,1,users;user,1,[36]
1,Personal Security,1,users;user,5,[30; 39; 60; 62; 75]
3,Personal Awareness,2,bicycle;bike,1,[71]
0,Communal Security,0,campus;students,16,[16; 17; 18; 24; 25; 34; 43; 44; 46; 47; 49; 50; 51; 56; 57; 74]
6,Faster Transportation,0,campus;students,3,[26; 35; 63]
0,Communal Security,5,activity;routes,4,[11; 15; 20; 45]
1,Personal Security,0,campus;students,6,[3; 4; 29; 33; 37; 41]
5,Communal Awareness,5,activity;routes,1,[42]
0,Communal Security,1,users;user,9,[10; 13; 21; 23; 28; 58; 59; 64; 65]
7,Communal awareness,0,campus;students,1,[54]
6,Faster Transportation,1,users;user,1,[31]
3,Personal Awareness,1,users;user,5,[22; 38; 67; 72; 73]
2,Personal Safety,3,idea;way,1,[70]
0,Communal Security,2,bicycle;bike,4,[27; 48; 52; 55]
