Human_Label_Index,Human_Label,Machine_Label_Index,Machine_Label,Bubble_size,Concept_Indices
0,Irregular Bookcase/bookshelf,1,drawer;user,1,[17]
0,Irregular Bookcase/bookshelf,0,shelves;bookshelf,19,[18; 21; 22; 23; 24; 25; 26; 27; 28; 30; 31; 32; 33; 34; 35; 36; 37; 40; 41]
3,Irregular Drawer Chest,3,use;computer,2,[56; 57]
3,Irregular Drawer Chest,0,shelves;bookshelf,5,[7; 13; 42; 44; 45]
3,Irregular Drawer Chest,1,drawer;user,8,[1; 8; 9; 16; 74; 75; 82; 83]
2,Disposal (Trash Can/Bin),2,bin,2,[46; 51]
2,Disposal (Trash Can/Bin),1,drawer;user,1,[54]
2,Disposal (Trash Can/Bin),0,shelves;bookshelf,7,[11; 47; 48; 49; 50; 52; 53]
1,Smart Item Tracker,3,use;computer,3,[58; 60; 61]
0,Irregular Bookcase/bookshelf,4,user;books,5,[19; 20; 29; 38; 39]
5,Others,1,drawer;user,1,[78]
1,Smart Item Tracker,0,shelves;bookshelf,3,[5; 6; 55]
3,Irregular Drawer Chest,5,different sizes and versions,1,[63]
4,Moving Drawer Chest,1,drawer;user,6,[2; 3; 4; 62; 64; 68]
1,Smart Item Tracker,1,drawer;user,14,[14; 59; 66; 67; 69; 70; 71; 72; 73; 76; 77; 79; 80; 81]
4,Moving Drawer Chest,4,user;books,1,[65]
4,Moving Drawer Chest,0,shelves;bookshelf,4,[10; 12; 15; 43]
