Index,Human_Label,Machine_Label
0,External device,device;gui
1,Clothes,sensor;electrodes
2,Belts,belt;sensors
3,Others,baby;mom
4,Wearable accessories,activity;tracks
5,Compact electrodes,fetus;electrodes
6,Blanket/pillow,mothers;connects
7,Audible Devices,pregnancy;sickness
