Index,Human_Label,Machine_Label
0,Irregular Bookcase/bookshelf,shelves;bookshelf
1,Smart Item Tracker,drawer;user
2,Disposal (Trash Can/Bin),bin
3,Irregular Drawer Chest,use;computer
4,Moving Drawer Chest,user;books
5,Others,different sizes and versions
