Human_Label_Index,Human_Label,Machine_Label_Index,Machine_Label,Bubble_size,Concept_Indices
9,Simulation,1,vr;kit,1,[27]
6,Constructing game,6,balls;roller,1,[6]
5,Daily life related,6,balls;roller,1,[29]
8,Adventure,0,game;kids,1,[8]
2,Prep education,1,vr;kit,1,[3]
9,Simulation,4,vr;world,1,[34]
5,Daily life related,1,vr;kit,1,[33]
5,Daily life related,5,,1,[2]
8,Adventure,1,vr;kit,1,[1]
7,Fiction games,6,balls;roller,1,[9]
4,Physical sport game,4,vr;world,2,[12; 13]
2,Prep education,2,environment;molecules,3,[15; 16; 17]
3,Earth science games,5,,2,[5; 28]
1,Adventurous biology games,1,vr;kit,3,[18; 19; 20]
5,Daily life related,4,vr;world,1,[21]
0,Game mechanics and features,0,game;kids,4,[23; 24; 25; 26]
7,Fiction games,5,,1,[14]
3,Earth science games,3,planet;earth,3,[30; 31; 32]
9,Simulation,2,environment;molecules,1,[7]
6,Constructing game,1,vr;kit,2,[10; 11]
7,Fiction games,4,vr;world,1,[22]
5,Daily life related,2,environment;molecules,1,[4]
