Human_Label_Index,Human_Label,Machine_Label_Index,Machine_Label,Bubble_size,Concept_Indices
0,Function,1,tank;fish,4,[2; 33; 43; 56]
0,Function,0,leds;fireplace,19,[8; 12; 16; 21; 26; 34; 41; 42; 44; 50; 51; 55; 59; 64; 67; 68; 69; 70; 75]
3,Physical,0,leds;fireplace,16,[10; 11; 13; 14; 17; 22; 23; 24; 27; 28; 29; 39; 40; 49; 57; 62]
3,Physical,1,tank;fish,2,[15; 48]
0,Function,3,led's,1,[37]
1,Visual,1,tank;fish,2,[47; 54]
2,Control,0,leds;fireplace,17,[3; 4; 6; 7; 18; 19; 20; 30; 31; 32; 35; 36; 38; 60; 61; 66; 76]
2,Control,1,tank;fish,1,[53]
2,Control,2,records;year,1,[73]
1,Visual,0,leds;fireplace,10,[1; 9; 25; 52; 58; 63; 65; 71; 72; 74]
0,Function,2,records;year,3,[5; 45; 46]
